address,city,soldDate,soldPrice,sqft,zipCode
360 E 88th St #14A,New York,29-Jan-19,"$1,350,000 ",984 sqft,10128
,,,,,
401 E 89th St #3B,New York,28-Jan-19,"$760,000 ",929 sqft,10128
,,,,,
308 E 38th St,New York,28-Jan-19,"$832,000 ","93,314 sqft",10016
,,,,,
77 W 55th St #14D,New York,28-Jan-19,"$695,000 ",566 sqft,10019
,,,,,
539 W 144th St #5,New York,28-Jan-19,"$610,000 ",928 sqft,10031
,,,,,
25 Central Park W #3G,New York,28-Jan-19,"$1,090,000 ",819 sqft,10023
,,,,,
21 Ludlow St #8A,New York,28-Jan-19,"$765,000 ",500 sqft,10002
,,,,,
330 E 38th St #20A,New York,15-May-18,"$1,475,000 ","1,009 sqft",10016
,,,,,
18 W 129th St #2A,New York,15-May-18,"$620,000 ",594 sqft,10027
,,,,,
502 9th Ave #10B,New York,15-May-18,"$2,430,000 ","1,164 sqft",10018
,,,,,
186 Riverside Dr #6D,New York,15-May-18,"$835,000 ","152,016 sqft",10024
,,,,,
330 E 38th St #8D,New York,14-May-18,"$1,765,000 ","1,372 sqft",10016
,,,,,
845 W End Ave #6E,New York,14-May-18,"$3,125,000 ","2,313 sqft",10025
,,,,,
2250 Broadway #4G,New York,14-May-18,"$999,999 ",740 sqft,10024
,,,,,
333 E 30th St #2G,New York,14-May-18,Contact For Estimate,476 sqft,10016
,,,,,
161 Grand St #5A,New York,14-May-18,Contact For Estimate,"1,771 sqft",10013
,,,,,
229 E 28th St #6K,New York,14-May-18,"$395,000 ","44,912 sqft",10016
,,,,,
225 W 83rd St #8L,New York,14-May-18,"$1,995,000 ","1,114 sqft",10024
,,,,,
421 E 13th St #3A,New York,14-May-18,"$1,600,000 ","1,047 sqft",10009
,,,,,
300 Rector Pl #6I,New York,14-May-18,"$610,000 ",625 sqft,10280
,,,,,
39-45 E 29th St #15C,New York,14-May-18,"$1,608,888 ",785 sqft,10016
,,,,,
516 W 47th St #S5E,New York,14-May-18,"$790,000 ",611 sqft,10036
,,,,,
200 Rector Pl #31F,New York,14-May-18,"$975,000 ",645 sqft,10280
,,,,,
156 E 36th St #158,New York,11-May-18,Contact For Estimate,"2,427 sqft",10016
,,,,,
305 W 150th St #607,New York,11-May-18,"$474,000 ",570 sqft,10039
,,,,,
350 W 53rd St #1DTHD,New York,11-May-18,"$1,650,000 ","1,384 sqft",10019
,,,,,
188 E 70th St #16B,New York,11-May-18,"$750,000 ",547 sqft,10021
,,,,,
24 W 123rd St,New York,11-May-18,Contact For Estimate,"2,484 sqft",10027
,,,,,
300 E 64th St #7H,New York,11-May-18,Contact For Estimate,"1,658 sqft",10065
,,,,,
343 W 47th St,New York,11-May-18,Contact For Estimate,"5,272 sqft",10036
,,,,,
100 W 39th St #38E,New York,11-May-18,"$1,060,000 ",701 sqft,10018
,,,,,
270 W 17th St #4C,New York,11-May-18,"$1,400,000 ",847 sqft,10011
,,,,,
225 E 74th St #5H,New York,11-May-18,"$752,500 ","86,988 sqft",10021
,,,,,
122 West St #1C,Brooklyn,11-May-18,"$765,000 ",688 sqft,11222
,,,,,
392 11th St #3A,Brooklyn,11-May-18,"$940,000 ",934 sqft,11215
,,,,,
1990 Troy Ave,Brooklyn,11-May-18,"$620,000 ","1,440 sqft",11234
,,,,,
622 Louisiana Ave #2,Brooklyn,11-May-18,"$319,587 ","1,025 sqft",11239
,,,,,
1866 E 27th St,Brooklyn,11-May-18,"$990,000 ","1,948 sqft",11229
,,,,,
960 E 86th St,Brooklyn,11-May-18,"$485,000 ","1,456 sqft",11236
,,,,,
3 E 88th St,Brooklyn,11-May-18,"$707,500 ","2,165 sqft",11236
,,,,,
1504 Vyse Ave,Bronx,15-May-18,Contact For Estimate,"3,678 sqft",10460
,,,,,
2049 Burr Ave,Bronx,15-May-18,"$775,000 ","2,321 sqft",10461
,,,,,
3911 Duryea Ave,Bronx,15-May-18,"$600,000 ","3,120 sqft",10466
,,,,,
4414 Bruner Ave,Bronx,14-May-18,"$370,000 ","1,128 sqft",10466
,,,,,
1273 Stadium Ave,Bronx,14-May-18,"$300,000 ","1,400 sqft",10465
,,,,,
1942 Tomlinson Ave,Bronx,14-May-18,"$810,000 ","3,306 sqft",10461
,,,,,
3240 Netherland Ave #2C,Bronx,14-May-18,"$230,000 ",479 sqft,10463
,,,,,
208 Throggs Neck Blvd,Bronx,14-May-18,"$430,000 ",960 sqft,10465
,,,,,
2241 Turnbull Ave,Bronx,14-May-18,"$475,000 ","1,815 sqft",10473
,,,,,
1144 Lydig Ave #4C,Bronx,14-May-18,"$309,000 ",800 sqft,10461
,,,,,
218 E 179th St,Bronx,14-May-18,"$780,000 ","4,158 sqft",10457
,,,,,
1822 Marmion Ave,Bronx,14-May-18,"$450,000 ","1,112 sqft",10460
,,,,,
1407 Needham Ave,Bronx,14-May-18,"$719,000 ","2,187 sqft",10469
,,,,,
1119 Throggmorton Ave,Bronx,14-May-18,"$621,000 ","2,016 sqft",10465
,,,,,
1725 Purdy St #2H,Bronx,14-May-18,"$159,000 ",623 sqft,10462
,,,,,
1852 Yates Ave,Bronx,12-May-18,"$385,000 ","1,656 sqft",10461
,,,,,
1046 E 222nd St,Bronx,11-May-18,Contact For Estimate,"1,560 sqft",10469
,,,,,
2353 Wickham Ave,Bronx,11-May-18,"$470,000 ","1,644 sqft",10469
,,,,,
744 Saint Lawrence Ave,Bronx,11-May-18,Contact For Estimate,"6,942 sqft",10473
,,,,,
2044 Washington Ave,Bronx,11-May-18,Contact For Estimate,"1,804 sqft",10457
,,,,,
3625 172nd St,Flushing,11-May-18,Contact For Estimate,"2,150 sqft",11358
,,,,,
4140 Union St #6U,Flushing,11-May-18,"$550,000 ",687 sqft,11355
,,,,,
17502 139th Rd,Jamaica,11-May-18,"$525,000 ","2,443 sqft",11434
,,,,,
8159 246th St,Jamaica,11-May-18,"$605,000 ","1,163 sqft",11426
,,,,,
14548 Ferndale Ave,Jamaica,11-May-18,"$755,000 ","2,300 sqft",11435
,,,,,
15807 137th Ave,Jamaica,11-May-18,"$451,000 ","1,698 sqft",11434
,,,,,
14644 Lakewood Ave,Jamaica,11-May-18,"$675,000 ","1,248 sqft",11435
,,,,,
16036 119th Dr,Jamaica,11-May-18,"$599,000 ","1,215 sqft",11434
,,,,,
8451 Beverly Rd #1W,Kew Gardens,11-May-18,"$195,000 ","156,510 sqft",11415
,,,,,
249 E 7th St #1,New York,1-Feb-19,"$399,000 ","9,664 sqft",10009
,,,,,
392 Central Park W #4M,New York,31-Jan-19,"$1,100,000 ",788 sqft,10025
,,,,,
101 W 24th St #4H,New York,31-Jan-19,"$1,525,000 ",836 sqft,10011
,,,,,
555 W 23rd St #S7R,New York,31-Jan-19,"$1,153,750 ",852 sqft,10011
,,,,,
20 West St #44F,New York,31-Jan-19,"$527,500 ",368 sqft,10004
,,,,,
209-211 E 51st St #9F,New York,31-Jan-19,"$1,150,000 ",842 sqft,10022
,,,,,
220 E 60th St #6M,New York,31-Jan-19,"$540,000 ",443 sqft,10022
,,,,,
209-211 E 51st St #5D,New York,31-Jan-19,"$665,000 ",505 sqft,10022
,,,,,
516 W 47th St #N3G,New York,31-Jan-19,"$1,100,000 ",912 sqft,10036
,,,,,
234 E 70th St #1,New York,31-Jan-19,"$2,075,000 ","1,977 sqft",10021
,,,,,
18-20 Pine St #1703,New York,30-Jan-19,"$767,000 ",656 sqft,10005
,,,,,
650 Avenue Of The Americas #3L,New York,30-Jan-19,"$1,620,000 ","1,090 sqft",10011
,,,,,
412 Greenwich St,New York,30-Jan-19,"$13,240,000 ","4,986 sqft",10013
,,,,,
150 W 51st St #2022,New York,30-Jan-19,"$540,000 ",353 sqft,10019
,,,,,
77 W 55th St #7A,New York,30-Jan-19,"$521,000 ",400 sqft,10019
,,,,,
400 E 51st St #4C,New York,30-Jan-19,"$1,180,000 ","1,046 sqft",10022
,,,,,
768 5th Ave #1321,New York,30-Jan-19,"$2,800,000 ",902 sqft,10019
,,,,,
220 3rd Ave #2C,New York,30-Jan-19,"$950,000 ",525 sqft,10003
,,,,,
