,address,city,soldDate,soldPrice,sqft,zipCode,borough
10626,199 Humboldt St #3A,Brooklyn,16-Oct-18,730000.0,696,11206,Brooklyn
10627,90 Shepherd Ave,Brooklyn,16-Oct-18,,1728,11208,Brooklyn
10628,146 Sackman St,Brooklyn,16-Oct-18,561500.0,2040,11233,Brooklyn
10629,382 E 52nd St,Brooklyn,16-Oct-18,,1138,11203,Brooklyn
10630,318 13th St #4,Brooklyn,16-Oct-18,1512101.0,1271,11215,Brooklyn
10631,6 E 57th St,Brooklyn,16-Oct-18,,1540,11203,Brooklyn
10632,66 Doscher St,Brooklyn,16-Oct-18,,1440,11208,Brooklyn
10633,44 Fort Greene Pl,Brooklyn,16-Oct-18,,3360,11217,Brooklyn
10634,74 Diamond St,Brooklyn,16-Oct-18,,2269,11222,Brooklyn
10635,122 West St #4O,Brooklyn,17-Oct-18,925000.0,704,11222,Brooklyn
10636,1454 47th St,Brooklyn,17-Oct-18,2300000.0,3600,11219,Brooklyn
10637,2628 National Dr,Brooklyn,17-Oct-18,2340000.0,3710,11234,Brooklyn
10638,1937 E 33rd St,Brooklyn,17-Oct-18,590000.0,938,11234,Brooklyn
10639,1128 Jefferson Ave,Brooklyn,17-Oct-18,,2532,11221,Brooklyn
10640,144 95th St,Brooklyn,17-Oct-18,975000.0,1344,11209,Brooklyn
10641,1485 E 58th St,Brooklyn,17-Oct-18,605000.0,1208,11234,Brooklyn
10642,318 Avenue N,Brooklyn,17-Oct-18,1150000.0,1384,11230,Brooklyn
10643,145 72nd St #F1,Brooklyn,17-Oct-18,503000.0,108000,11209,Brooklyn
10644,394 E 8th St,Brooklyn,17-Oct-18,1549000.0,2030,11218,Brooklyn
10645,115 India St #A,Brooklyn,17-Oct-18,1790000.0,2040,11222,Brooklyn
10646,346 Coney Island Ave #706-347,Brooklyn,17-Oct-18,999000.0,1428,11218,Brooklyn
10647,190 Shepherd Ave,Brooklyn,18-Oct-18,875000.0,784,11208,Brooklyn
10648,95 Lexington Ave #5A,Brooklyn,18-Oct-18,1500000.0,1496,11238,Brooklyn
10649,526 Chauncey St,Brooklyn,18-Oct-18,,5460,11233,Brooklyn
